import time: self [us] | cumulative | imported package
import time:     50018 |      73368 |           fastapi.openapi.models
import time:       976 |        976 |           fastapi.datastructures
import time:      2029 |     133203 |         fastapi.params
import time:       642 |        642 |           fastapi.dependencies
import time:       248 |        248 |                 fastapi.security.base
import time:       822 |        822 |                   http.cookies
import time:       353 |        353 |                   starlette._utils
import time:       382 |        382 |                           python_multipart.exceptions
import time:       253 |        634 |                         python_multipart.decoders
import time:       869 |       1503 |                       python_multipart.multipart
import time:       244 |       1747 |                     python_multipart
import time:       638 |       2384 |                   starlette.formparsers
import time:       412 |       3970 |                 starlette.requests
import time:       394 |       4611 |               fastapi.security.api_key
import time:       188 |        188 |                 fastapi.security.utils
import time:       903 |       1090 |               fastapi.security.http
import time:       798 |        798 |                 fastapi.param_functions
import time:       765 |       1563 |               fastapi.security.oauth2
import time:       209 |        209 |               fastapi.security.open_id_connect_url
import time:       223 |       7694 |             fastapi.security
import time:        10 |       7704 |           fastapi.security.base
import time:      1011 |       9356 |         fastapi.dependencies.models
import time:       231 |        231 |             starlette.background
import time:       668 |        899 |           fastapi.background
import time:       200 |        200 |           fastapi.concurrency
import time:       209 |        209 |           fastapi.utils
import time:      1991 |       1991 |               _hashlib
import time:       942 |        942 |               _blake2
import time:       330 |       3261 |             hashlib
import time:        54 |         54 |               _winapi
import time:        41 |         41 |               winreg
import time:       382 |        476 |             mimetypes
import time:       238 |        238 |               hmac
import time:       191 |        429 |             secrets
import time:       435 |       4600 |           starlette.responses
import time:       345 |        345 |           starlette.websockets
import time:       838 |       7089 |         fastapi.dependencies.utils
import time:       201 |        201 |             colorsys
import time:       514 |        714 |           pydantic.color
import time:        51 |         51 |             pydantic_extra_types
import time:        10 |         60 |           pydantic_extra_types.color
import time:       311 |       1084 |         fastapi.encoders
import time:       894 |        894 |         fastapi.sse
import time:       203 |        203 |           starlette._exception_handler
import time:       368 |        368 |           starlette.convertors
import time:       688 |        688 |           starlette.middleware
import time:       804 |       2062 |         starlette.routing
import time:       300 |        300 |         starlette.staticfiles
import time:      3920 |     223604 |       fastapi.routing
import time:       155 |        155 |         fastapi.websockets
import time:       225 |        380 |       fastapi.exception_handlers
import time:       179 |        179 |         fastapi.middleware
import time:       245 |        423 |       fastapi.middleware.asyncexitstack
import time:       285 |        285 |       fastapi.openapi.docs
import time:       739 |        739 |         http.client
import time:       371 |        371 |         fastapi.responses
import time:       305 |       1414 |       fastapi.openapi.utils
import time:       822 |        822 |             html.entities
import time:       324 |       1145 |           html
import time:       297 |       1442 |         starlette.middleware.errors
import time:       219 |        219 |         starlette.middleware.exceptions
import time:       239 |       1900 |       starlette.applications
import time:       272 |        272 |       starlette.middleware.base
import time:      1143 |     232337 |     fastapi.applications
import time:       150 |        150 |     fastapi.requests
import time:       616 |     234808 |   fastapi
import time:       186 |        186 |   starlette.middleware.cors
import time:       147 |        147 |   fastapi.staticfiles
import time:       200 |        200 |     admin_api
import time:       177 |        177 |       core
import time:       760 |        760 |           dotenv.parser
import time:       387 |        387 |           dotenv.variables
import time:       434 |       1579 |         dotenv.main
import time:       288 |       1866 |       dotenv
import time:      1627 |       3669 |     core.config
import time:       924 |        924 |           sqlalchemy.util.preloaded
import time:       232 |        232 |               sqlalchemy.cyextension
import time:      1178 |       1178 |               sqlalchemy.cyextension.collections
import time:      1486 |       1486 |               sqlalchemy.cyextension.immutabledict
import time:       896 |        896 |               sqlalchemy.cyextension.processors
import time:      1047 |       1047 |               sqlalchemy.cyextension.resultproxy
